batter,runs_scored,balls_faced,strike_rate
K Yadav,0,4,0.0
KR Sen,0,3,0.0
KM Asif,0,2,0.0
S Lamichhane,0,1,0.0
L Ablish,0,2,0.0
S Ladda,0,9,0.0
SS Cottrell,0,2,0.0
IC Pandey,0,2,0.0
C Nanda,0,1,0.0
JL Denly,0,1,0.0
Sunny Gupta,0,1,0.0
Yash Dayal,0,1,0.0
U Kaul,0,1,0.0
YA Abdulla,0,1,0.0
